ScenarioName,RowCount,LegacyCardinalityEstimation,Matched,MedianLogicalReads,MedianCpuMs,MedianElapsedMs
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000,True,True,2,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000,True,False,36,1,1
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000,False,True,2,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000,False,False,36,1,1
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,1000000,True,True,3,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,1000000,True,False,3360,87,87
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,1000000,False,True,3,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,1000000,False,False,3360,90,90
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000000,True,True,3,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000000,True,False,33572,871,871
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000000,False,True,3,0,0
varchar_vs_nvarchar_SQL_Latin1_General_CP1_CI_AS,10000000,False,False,33572,873,872
varchar_vs_nvarchar_Latin1_General_CI_AS,10000,True,True,2,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000,True,False,2,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000,False,True,2,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000,False,False,2,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,1000000,True,True,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,1000000,True,False,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,1000000,False,True,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,1000000,False,False,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000000,True,True,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000000,True,False,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000000,False,True,3,0,0
varchar_vs_nvarchar_Latin1_General_CI_AS,10000000,False,False,3,0,0
int_vs_bigint,10000,True,True,2,0,0
int_vs_bigint,10000,True,False,2,0,0
int_vs_bigint,10000,False,True,2,0,0
int_vs_bigint,10000,False,False,2,0,0
int_vs_bigint,1000000,True,True,3,0,0
int_vs_bigint,1000000,True,False,3,0,0
int_vs_bigint,1000000,False,True,3,0,0
int_vs_bigint,1000000,False,False,3,0,0
int_vs_bigint,10000000,True,True,3,0,0
int_vs_bigint,10000000,True,False,3,0,0
int_vs_bigint,10000000,False,True,3,0,0
int_vs_bigint,10000000,False,False,3,0,0
